Alabama-Birmingham NCAA,30,22,8,.733,14.71,3.51,8,4,,,,,2142,1806,,,778,1774,.439,201,528,.381,385,566,.680,,1132,382,230,86,359,519
Alabama NCAA,30,20,10,.667,10.19,6.06,12,4,,,,,2208,2084,,,787,1760,.447,158,468,.338,476,723,.658,,1187,392,238,155,508,583
Arizona NCAA,35,29,6,.829,23.70,8.84,14,4,,,,,3124,2604,,,1108,2288,.484,279,787,.355,629,884,.712,,1453,581,285,102,481,637
Arkansas NCAA,34,31,3,.912,23.88,7.55,14,2,,,,,3176,2569,,,1154,2363,.488,301,777,.387,567,834,.680,,1416,687,352,129,539,708
Boise State NCAA,30,17,13,.567,2.03,0.25,7,7,,,,,2174,2071,,,848,1778,.477,96,318,.302,382,647,.590,,1099,520,267,143,486,555
Boston College NCAA,34,23,11,.676,16.80,9.83,11,7,,,,,2658,2381,,,944,2004,.471,234,579,.404,536,786,.682,,1286,536,236,70,463,604
University of California NCAA,30,22,8,.733,14.24,7.14,13,5,,,,,2358,2145,,,837,1791,.467,175,524,.334,509,760,.670,,1136,529,258,120,437,561
Central Florida NCAA,30,21,9,.700,-6.25,-7.82,11,5,,,,,2418,2318,,,883,1888,.468,141,413,.341,511,752,.680,,1210,469,214,113,445,609
Chattanooga NCAA,30,23,7,.767,1.98,-1.77,14,4,,,,,2451,2309,,,826,1745,.473,227,597,.380,572,801,.714,,1119,458,207,80,428,499
Cincinnati NCAA,32,22,10,.688,15.30,6.18,7,5,,,,,2485,2193,,,861,2012,.428,253,693,.365,510,744,.685,,1270,431,252,81,477,615
College of Charleston NCAA,28,24,4,.857,4.54,-5.76,14,2,,,,,2147,1833,,,779,1574,.495,154,385,.400,435,671,.648,,1031,435,259,92,374,542
Connecticut NCAA,34,29,5,.853,22.63,6.31,16,2,,,,,2888,2333,,,1045,2111,.495,192,520,.369,606,841,.721,,1411,628,296,218,525,640
Drexel NCAA,30,25,5,.833,3.31,-6.17,12,2,,,,,2295,1968,,,798,1777,.449,204,543,.376,495,785,.631,,1262,503,156,68,367,560
Duke NCAA,34,28,6,.824,19.21,8.92,12,4,,,,,2639,2289,,1360,950,1953,.486,172,471,.365,567,797,.711,,1227,529,243,204,481,535
Florida NCAA,37,29,8,.784,16.11,9.01,12,4,,,,,2777,2514,,,985,2170,.454,196,545,.360,611,867,.705,,1478,529,305,145,591,683
George Washington NCAA,30,18,12,.600,9.28,6.38,8,8,,,,,2078,1991,,,724,1777,.407,183,549,.333,447,691,.647,,1215,392,234,128,441,644
Georgetown NCAA,31,19,12,.613,17.42,12.07,10,8,,,,,2264,2036,,,766,1783,.430,132,422,.313,600,849,.707,,1216,426,263,132,530,662
Green Bay NCAA,34,27,7,.794,9.80,-1.88,15,3,,,,,2258,1872,,,824,1681,.490,148,396,.374,462,607,.761,,1103,583,249,84,438,590
Hawaii NCAA,33,18,15,.545,1.62,4.14,11,7,,,,,2377,2460,,,876,2003,.437,201,555,.362,424,649,.653,,1167,526,193,128,485,655
Illinois NCAA,28,17,11,.607,18.96,9.75,10,8,,,,,2353,2095,,,833,1739,.479,162,436,.372,525,732,.717,,1081,483,171,79,374,525
Indiana NCAA,30,21,9,.700,15.92,12.05,12,6,,,,,2428,2312,,,832,1720,.484,182,401,.454,582,776,.750,,1145,523,183,125,476,551
James Madison NCAA,30,20,10,.667,2.20,-1.41,10,4,,,,,2498,2390,,,890,1783,.499,200,505,.396,518,722,.717,,1040,447,173,113,459,560
Kansas NCAA,35,27,8,.771,20.69,8.60,9,5,,,,,2817,2392,,,1026,2181,.470,201,530,.379,564,893,.632,,1497,628,277,192,564,659
Kentucky NCAA,34,27,7,.794,21.56,9.41,12,4,,,,,2952,2537,,,1027,2195,.468,301,857,.351,597,875,.682,,1303,648,394,195,533,762
Liberty NCAA,30,18,12,.600,-6.62,-6.98,12,6,,,,,2152,2091,,,743,1662,.447,211,573,.368,455,636,.715,,1099,479,173,125,469,514
Louisiana NCAA,30,22,8,.733,5.70,-1.02,13,5,,,,,2264,2157,,,807,1810,.446,204,582,.351,446,618,.722,,1030,418,292,117,364,525
Louisville NCAA,34,28,6,.824,18.71,7.35,10,2,,,,,2726,2339,,,998,2047,.488,224,611,.367,506,795,.636,,1325,564,291,170,509,532
